ชื่อโฆษณา,"ID โฆษณา",วัน,สถานะการแสดงโฆษณา,ระดับการแสดงโฆษณา,ประเภทผลลัพธ์,ผลลัพธ์,ต้นทุนต่อผลลัพธ์,ค่าคอนเวอร์ชั่นการซื้อ,"จำนวนเงินที่ใช้จ่ายไป (THB)","ROAS (ผลตอบแทนจากค่าใช้จ่ายในการโฆษณา) ของการซื้อ",อิมเพรสชัน,การเข้าถึง,การซื้อ,การสนทนาผ่านการส่งข้อความที่เริ่มขึ้น,ต้นทุนต่อการเริ่มการสนทนาผ่านการส่งข้อความ,คำสั่งซื้อที่สร้างขึ้น,การคลิกลิงก์,"CTR (ทั้งหมด)","CPM (ต้นทุนต่ออิมเพรสชั่น 1,000 ครั้ง)","%CVR (META)",เริ่มการรายงาน,สิ้นสุดการรายงาน
"[01.12.25][มิ้น] 5 ประโยคจุกอก (ปีศาจตัวนั้น)",120241544750870260,2026-02-28,archived,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[04.10.24] [มิ้น] ถ้าวันนี้เป็นวันสุดท้าย คุณจะทำอะไร? (Ghost)",120216040197210260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[11.06.25][มิ้น] ชายคนหนึ่งตกหลุมรักสาวใบ้ (Ghostly)",120232158783980260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[27.11.25][มิ้น] ตอบคอมเมนต์ อ่านเล่ม 2 เลยได้ไหม (Demons)",120241143672550260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[02.06.25][มิ้น] รีแอค ขมิ้น (Ghostly)",120231946918740260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[03.05.25][มิ้น] 5.5 จัดโปร Boxset ฮีลใจ 555.- (Promotion_DD)",120227797678280260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[13.11.24] [มิ้น] แยกย้ายไปเติบโต (โอบกอด)",120216996665780260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[21.09.24] [มิ้น] คนเราแตกสลายได้กี่ครั้ง",120216668670730260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[24.10.24] [มิ้น] Payday นี้ เทโปรแรง จนขนลุก",120216536721530260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[10.09.25][มิ้น] เคยไหม แพ้เสียงในหัวตัวเอง (Demons)",120236625806110260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[10.12.24] [มิ้น] 12.12 แจกสุขส่งท้ายปี",120217673365280260,2026-02-28,archived,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[03.09.25][มิ้น] อยากให้ทุกคนอ่าน (Ghostly)",120236575412200260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[21.09.24] [มิ้น] คนเราแตกสลายได้กี่ครั้ง",120216689813040260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[23.10.24] [มิ้น] โดนตกจากประโยคหลังปก (Life)",120216576737330260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[13.11.24] [มิ้น] การเป็นตัวเองทำให้รู้สึกไม่มั่นใจ (Helmet_Boxset)",120216996599520260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[06.03.26][มิ้น] บทที่ 8 เราต่างกันเกินไป (Embrace)",120245219215280260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
